Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	dorsal/ventral axis specification (GO:0009950)	1/5	0.0114482499529965	0.1427984079697344	0	0	110.83333333333331	495.41595635428416	MDFI
GO_Biological_Process_2021	protein kinase C signaling (GO:0070528)	1/11	0.0250170610222384	0.1427984079697344	0	0	44.32	163.46090194189088	PRSS33
GO_Biological_Process_2021	cytoplasmic sequestering of protein (GO:0051220)	1/13	0.0294993835815373	0.1427984079697344	0	0	36.92962962962963	130.1173367501014	MDFI
GO_Biological_Process_2021	cytoplasmic sequestering of transcription factor (GO:0042994)	1/14	0.0317329795488298	0.1427984079697344	0	0	34.08717948717949	117.61436233167085	MDFI
GO_Biological_Process_2021	dorsal/ventral pattern formation (GO:0009953)	1/24	0.05379417048562	0.193659013748232	0	0	19.257004830917875	56.28033307969816	MDFI
GO_Biological_Process_2021	negative regulation of DNA binding (GO:0043392)	1/31	0.0689436507552879	0.2068309522658639	0	0	14.75851851851852	39.471152501452366	MDFI
GO_Biological_Process_2021	regulation of DNA binding (GO:0051101)	1/47	0.1026855654766097	0.2640485969398536	0	0	9.617391304347828	21.889987798811458	MDFI
GO_Biological_Process_2021	renal system development (GO:0072001)	1/57	0.1231636509149521	0.2771182145586423	0	0	7.896031746031746	16.536195888856938	GREB1L
GO_Biological_Process_2021	kidney development (GO:0001822)	1/70	0.1491028379014383	0.2982056758028767	0	0	6.404186795491143	12.187929722777866	GREB1L
GO_Biological_Process_2021	negative regulation of binding (GO:0051100)	1/88	0.1837830905392396	0.3308095629706313	0	0	5.074584929757344	8.596342164509942	MDFI
GO_Biological_Process_2021	regulation of Wnt signaling pathway (GO:0030111)	1/111	0.2260900552667272	0.3699655449819172	0	0	4.0088888888888885	5.960503732321416	MDFI
GO_Biological_Process_2021	negative regulation of DNA-binding transcription factor activity (GO:0043433)	1/143	0.2814025880638636	0.4221038820957954	0	0	3.1004694835680757	3.9312989960385454	MDFI
GO_Biological_Process_2021	negative regulation of Wnt signaling pathway (GO:0030178)	1/191	0.3571925002349334	0.4945742310945231	0	0	2.311578947368421	2.3797252798925874	MDFI
GO_Biological_Process_2021	negative regulation of signal transduction (GO:0009968)	1/267	0.4614829085161668	0.5832636974127696	0	0	1.6447786131996658	1.2719241776072596	MDFI
GO_Biological_Process_2021	proteolysis (GO:0006508)	1/287	0.486053081177308	0.5832636974127696	0	0	1.528205128205128	1.1025043962762386	PRSS33
GO_Biological_Process_2021	negative regulation of transcription by RNA polymerase II (GO:0000122)	1/684	0.7986199075491366	0.8984473959927787	0	0	0.6270050431104603	0.1409947222352381	MDFI
GO_Biological_Process_2021	negative regulation of transcription, DNA-templated (GO:0045892)	1/948	0.8931505971256739	0.9456888675448312	0	0	0.4460166608001877	0.0503999141261924	MDFI
GO_Biological_Process_2021	regulation of transcription by RNA polymerase II (GO:0006357)	1/2206	0.9954012550494434	0.9954012550494434	0	0	0.1788762912572436	0.0008245037388289945	MDFI
