Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	negative regulation of hydrogen peroxide metabolic process (GO:0010727)	1/5	0.0139230795759582	0.1694288976572964	0	0	90.63636363636364	387.3986174905012	MMP3
GO_Biological_Process_2021	regulation of hydrogen peroxide metabolic process (GO:0010310)	1/6	0.0166847718987565	0.1694288976572964	0	0	72.50545454545454	296.7835926147705	MMP3
GO_Biological_Process_2021	positive regulation of oxidative stress-induced cell death (GO:1903209)	1/7	0.0194388685228235	0.1694288976572964	0	0	60.41818181818182	238.07667848958	MMP3
GO_Biological_Process_2021	cellular response to nitric oxide (GO:0071732)	1/9	0.0249243557733439	0.1694288976572964	0	0	45.30909090909091	167.27707721282206	MMP3
GO_Biological_Process_2021	cellular response to reactive nitrogen species (GO:1902170)	1/9	0.0249243557733439	0.1694288976572964	0	0	45.30909090909091	167.27707721282206	MMP3
GO_Biological_Process_2021	cellular response to UV-A (GO:0071492)	1/11	0.0303797035423347	0.1694288976572964	0	0	36.24363636363636	126.63456015986765	MMP3
GO_Biological_Process_2021	regulation of oxidative stress-induced cell death (GO:1903201)	1/12	0.0330961257367998	0.1694288976572964	0	0	32.94710743801653	112.2949128878184	MMP3
GO_Biological_Process_2021	antifungal innate immune response (GO:0061760)	1/13	0.0358050737240217	0.1694288976572964	0	0	30.2	100.5559032787779	CLEC4D
GO_Biological_Process_2021	response to nitric oxide (GO:0071731)	1/13	0.0358050737240217	0.1694288976572964	0	0	30.2	100.5559032787779	MMP3
GO_Biological_Process_2021	response to UV-A (GO:0070141)	1/14	0.0385065676493855	0.1694288976572964	0	0	27.875524475524475	90.78853336057628	MMP3
GO_Biological_Process_2021	positive regulation of leukocyte activation (GO:0002696)	1/19	0.0519029280414418	0.1903107361519533	0	0	20.12727272727273	59.54412256861738	CLEC4D
GO_Biological_Process_2021	regulation of neuroinflammatory response (GO:0150077)	1/19	0.0519029280414418	0.1903107361519533	0	0	20.12727272727273	59.54412256861738	MMP3
GO_Biological_Process_2021	cellular response to inorganic substance (GO:0071241)	1/21	0.0572099934618307	0.191006730658212	0	0	18.112727272727277	51.82099606513529	MMP3
GO_Biological_Process_2021	negative regulation of reactive oxygen species metabolic process (GO:2000378)	1/23	0.0624878802572221	0.191006730658212	0	0	16.464462809917354	45.65237693498055	MMP3
GO_Biological_Process_2021	defense response to fungus (GO:0050832)	1/24	0.0651159309062086	0.191006730658212	0	0	15.747826086956522	43.01654198332297	CLEC4D
GO_Biological_Process_2021	response to peptide (GO:1901652)	1/39	0.1036792644883319	0.2556029279263961	0	0	9.524401913875598	21.58661062869493	MMP3
GO_Biological_Process_2021	detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	1/40	0.1061938618617769	0.2556029279263961	0	0	9.27972027972028	20.8096703696972	LPO
GO_Biological_Process_2021	sensory perception of bitter taste (GO:0050913)	1/41	0.1087015302888756	0.2556029279263961	0	0	9.047272727272729	20.077249906423734	LPO
GO_Biological_Process_2021	response to amyloid-beta (GO:1904645)	1/44	0.1161831490574527	0.2556029279263961	0	0	8.414799154334037	18.113591153164	MMP3
GO_Biological_Process_2021	detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	1/44	0.1161831490574527	0.2556029279263961	0	0	8.414799154334037	18.113591153164	LPO
GO_Biological_Process_2021	extracellular matrix disassembly (GO:0022617)	1/66	0.1691952972512301	0.3236779599588749	0	0	5.560559440559441	9.879455000733476	MMP3
GO_Biological_Process_2021	positive regulation of cell death (GO:0010942)	1/66	0.1691952972512301	0.3236779599588749	0	0	5.560559440559441	9.879455000733476	MMP3
GO_Biological_Process_2021	cellular component disassembly (GO:0022411)	1/66	0.1691952972512301	0.3236779599588749	0	0	5.560559440559441	9.879455000733476	MMP3
GO_Biological_Process_2021	cellular response to UV (GO:0034644)	1/77	0.1945174349528001	0.3566152974134669	0	0	4.75311004784689	7.781950904843825	MMP3
GO_Biological_Process_2021	positive regulation of cellular component biogenesis (GO:0044089)	1/92	0.2278297445070806	0.4009803503324619	0	0	3.966633366633367	5.867272176277879	MMP3
GO_Biological_Process_2021	positive regulation of cellular component organization (GO:0051130)	1/114	0.2742536829589655	0.4036872089479923	0	0	3.1908286403861625	4.127980598295352	MMP3
GO_Biological_Process_2021	stimulatory C-type lectin receptor signaling pathway (GO:0002223)	1/115	0.2762974189144523	0.4036872089479923	0	0	3.1626794258373208	4.068083033166656	CLEC4D
GO_Biological_Process_2021	cellular response to lectin (GO:1990858)	1/115	0.2762974189144523	0.4036872089479923	0	0	3.1626794258373208	4.068083033166656	CLEC4D
GO_Biological_Process_2021	regulation of protein-containing complex assembly (GO:0043254)	1/116	0.278335502050637	0.4036872089479923	0	0	3.13501976284585	4.009464715240271	MMP3
GO_Biological_Process_2021	positive regulation of protein-containing complex assembly (GO:0031334)	1/118	0.2823947713529024	0.4036872089479923	0	0	3.081118881118881	3.8959185772419263	MMP3
GO_Biological_Process_2021	innate immune response activating cell surface receptor signaling pathway (GO:0002220)	1/119	0.2844159881224491	0.4036872089479923	0	0	3.054853620955316	3.8409205070123225	CLEC4D
GO_Biological_Process_2021	defense response to bacterium (GO:0042742)	1/176	0.3908343515673674	0.5373972334051301	0	0	2.0539220779220777	1.929601177469015	LPO
GO_Biological_Process_2021	regulation of inflammatory response (GO:0050727)	1/206	0.4404334395939547	0.5752779271800568	0	0	1.7506873614190688	1.4355565407687636	MMP3
GO_Biological_Process_2021	extracellular structure organization (GO:0043062)	1/216	0.4560678070655961	0.5752779271800568	0	0	1.668414376321353	1.309895118963431	MMP3
GO_Biological_Process_2021	external encapsulating structure organization (GO:0045229)	1/217	0.4576074420750451	0.5752779271800568	0	0	1.6606060606060606	1.298168119768346	MMP3
GO_Biological_Process_2021	proteolysis (GO:0006508)	1/287	0.5553834480593098	0.6645893007924736	0	0	1.249713922441195	0.7349523917762077	MMP3
GO_Biological_Process_2021	extracellular matrix organization (GO:0030198)	1/300	0.571530928404565	0.6645893007924736	0	0	1.1945880206749773	0.6682963553801591	MMP3
GO_Biological_Process_2021	innate immune response (GO:0045087)	1/302	0.5739634870480453	0.6645893007924736	0	0	1.186529749320447	0.6587488536333739	CLEC4D
GO_Biological_Process_2021	cellular response to oxygen-containing compound (GO:1901701)	1/323	0.5987003919119176	0.6754568524134454	0	0	1.1079616036137776	0.5683776398671618	MMP3
GO_Biological_Process_2021	neutrophil degranulation (GO:0043312)	1/481	0.744659376500956	0.767180112402113	0	0	0.7372727272727273	0.2173689222565872	CLEC4D
GO_Biological_Process_2021	cellular response to cytokine stimulus (GO:0071345)	1/482	0.7453919444210363	0.767180112402113	0	0	0.7357021357021357	0.2161824669371315	MMP3
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	1/485	0.7475772851643365	0.767180112402113	0	0	0.7310293012772352	0.2126692807468961	CLEC4D
GO_Biological_Process_2021	neutrophil mediated immunity (GO:0002446)	1/488	0.7497442007566104	0.767180112402113	0	0	0.7264140377076722	0.2092240929674036	CLEC4D
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	1/621	0.8294679798383479	0.8294679798383479	0	0	0.5666862170087976	0.1059537593958745	MMP3
