Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	mRNA processing (GO:0006397)	29/300	3.607613812923138e-08	8.73764065489984e-05	0	0	3.57207807680171	61.21696735623632	DHX9;U2AF1;PNN;SYNCRIP;SNRNP35;HNRNPA1;PPARGC1A;SF3B1;SMNDC1;HNRNPA0;SRRM2;SPEN;ZRSR2;AQR;HNRNPA3;SCAF11;FUS;PRPF40A;THOC2;RPRD2;U2SURP;SRRM1;KIN;NUDT21;CDK7;ZC3H11A;HNRNPA2B1;RBM41;SRSF9
GO_Biological_Process_2021	RNA processing (GO:0006396)	21/179	1.1064854699610505e-07	0.0001339953904122832	0	0	4.401403080677139	70.49686338167433	SRPK2;ZRSR2;RNASEL;TUT7;SCAF11;FUS;CELF2;U2AF1;SRRM1;SRPK1;SYNCRIP;KIN;NUDT21;ATXN1;HNRNPA2B1;PPIG;SNRNP35;PPARGC1A;SF3B1;SRSF9;HNRNPA0
GO_Biological_Process_2021	mRNA splicing, via spliceosome (GO:0000398)	26/274	2.644309021912499e-07	0.00021348388170240243	0	0	3.485523073476702	52.79063752562588	DHX9;U2AF1;PNN;SYNCRIP;SNRNP35;HNRNPA1;SF3B1;SMNDC1;HNRNPA0;SRRM2;SRPK2;SPEN;ZRSR2;AQR;HNRNPA3;SCAF11;FUS;PRPF40A;U2SURP;SRRM1;SRPK1;NUDT21;HNRNPA2B1;RBM41;CDK13;SRSF9
GO_Biological_Process_2021	negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	39/547	6.466153367243516e-07	0.00039152558638659487	0	0	2.5758730647123818	36.7100916954279	KHDRBS1;DDX6;GSK3B;SET;EHMT1;ARID4A;RSF1;HDAC9;TOB1;FXR1;SYNCRIP;NIPBL;BCLAF1;ATXN1;RPS6KA5;BCL7A;CCDC85B;DPF1;ZBTB7A;MTA3;ATF7IP;SPEN;KDM4A;SFMBT1;ZBTB38;ARID5B;TERF1;PHC3;POU3F3;EID1;REST;ZEB1;NCOR1;KAT6A;CPEB3;PLCB1;RCOR1;VGLL4;LIMS1
GO_Biological_Process_2021	RNA splicing (GO:0008380)	13/98	7.539484528652419e-06	0.0027496512177862	0	0	5.014860681114551	59.152070751100815	SRPK2;ZRSR2;SCAF11;FUS;U2AF1;SRRM1;SRPK1;SYNCRIP;PPIG;SNRNP35;PPARGC1A;SF3B1;SMNDC1
GO_Biological_Process_2021	nuclear export (GO:0051168)	12/84	7.757716178001762e-06	0.0027496512177862	0	0	5.459322033898305	64.23887374745297	WASHC4;NUP214;ATXN1;NEMF;ZC3H11A;TPR;PHAX;U2AF1;THOC2;HNRNPA1;SRRM1;SRSF9
GO_Biological_Process_2021	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	22/251	7.946968837532645e-06	0.0027496512177862	0	0	3.175109170305677	37.284417893784976	SRRM2;SPEN;ZRSR2;AQR;HNRNPA3;DHX9;FUS;PRPF40A;U2AF1;U2SURP;SRRM1;PNN;SYNCRIP;NUDT21;HNRNPA2B1;RBM41;SNRNP35;HNRNPA1;SF3B1;SMNDC1;SRSF9;HNRNPA0
GO_Biological_Process_2021	negative regulation of nucleic acid-templated transcription (GO:1903507)	32/464	1.2929900817337424e-05	0.0039145274724489	0	0	2.4647173489278758	27.74277969718234	KHDRBS1;SET;EHMT1;ARID4A;RSF1;HDAC9;NIPBL;BCLAF1;ATXN1;RPS6KA5;BCL7A;CCDC85B;DPF1;ZBTB7A;MTA3;ATF7IP;SPEN;KDM4A;SFMBT1;ZBTB38;ARID5B;PHC3;POU3F3;EID1;REST;ZEB1;NCOR1;KAT6A;PLCB1;RCOR1;VGLL4;LIMS1
GO_Biological_Process_2021	positive regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060213)	5/13	2.558865543236243e-05	0.0068861914952424	0	0	20.299413735343386	214.63303868485693	AGO2;CPEB3;TOB1;TNRC6A;TNRC6B
GO_Biological_Process_2021	regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060211)	5/15	5.679035941799149e-05	0.0137546250510375	0	0	16.23785594639866	158.7436175805374	AGO2;CPEB3;TOB1;TNRC6A;TNRC6B
