Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	mRNA processing (GO:0006397)	29/300	4.9670218198164236e-08	0.00012030126847595376	0	0	3.515184945663889	59.11788939714434	DHX9;U2AF1;PNN;SYNCRIP;SNRNP35;HNRNPA1;PPARGC1A;SF3B1;SMNDC1;HNRNPA0;SRRM2;SPEN;ZRSR2;AQR;HNRNPA3;SCAF11;FUS;PRPF40A;THOC2;RPRD2;U2SURP;SRRM1;KIN;NUDT21;CDK7;ZC3H11A;HNRNPA2B1;RBM41;SRSF9
GO_Biological_Process_2021	RNA processing (GO:0006396)	21/179	1.417282726601121e-07	0.00017163293819139573	0	0	4.332235571765716	68.31655714567911	SRPK2;ZRSR2;RNASEL;TUT7;SCAF11;FUS;CELF2;U2AF1;SRRM1;SRPK1;SYNCRIP;KIN;NUDT21;ATXN1;HNRNPA2B1;PPIG;SNRNP35;PPARGC1A;SF3B1;SRSF9;HNRNPA0
GO_Biological_Process_2021	mRNA splicing, via spliceosome (GO:0000398)	26/274	3.513167205392454e-07	0.0002836296990486841	0	0	3.4302867383512545	50.97947283568154	DHX9;U2AF1;PNN;SYNCRIP;SNRNP35;HNRNPA1;SF3B1;SMNDC1;HNRNPA0;SRRM2;SRPK2;SPEN;ZRSR2;AQR;HNRNPA3;SCAF11;FUS;PRPF40A;U2SURP;SRRM1;SRPK1;NUDT21;HNRNPA2B1;RBM41;CDK13;SRSF9
GO_Biological_Process_2021	negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	39/547	9.346226577108868e-07	0.000565914019243942	0	0	2.53413564781675	35.181716805479056	KHDRBS1;DDX6;GSK3B;SET;EHMT1;ARID4A;RSF1;HDAC9;TOB1;FXR1;SYNCRIP;NIPBL;BCLAF1;ATXN1;RPS6KA5;BCL7A;CCDC85B;DPF1;ZBTB7A;MTA3;ATF7IP;SPEN;KDM4A;SFMBT1;ZBTB38;ARID5B;TERF1;PHC3;POU3F3;EID1;REST;NCOR1;ZEB1;KAT6A;CPEB3;PLCB1;RCOR1;VGLL4;LIMS1
GO_Biological_Process_2021	RNA splicing (GO:0008380)	13/98	8.836714438661393e-06	0.0034673725213211	0	0	4.937084398976982	57.45085370645295	SRPK2;ZRSR2;SCAF11;FUS;U2AF1;SRRM1;SRPK1;SYNCRIP;PPIG;SNRNP35;PPARGC1A;SF3B1;SMNDC1
GO_Biological_Process_2021	nuclear export (GO:0051168)	12/84	9.007048210954306e-06	0.0034673725213211	0	0	5.374791318864775	62.4416550913036	WASHC4;NUP214;ATXN1;NEMF;ZC3H11A;TPR;PHAX;U2AF1;THOC2;HNRNPA1;SRRM1;SRSF9
GO_Biological_Process_2021	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	22/251	1.0021307865089973e-05	0.0034673725213211	0	0	3.125125110282397	35.972680573328894	SRRM2;SPEN;ZRSR2;AQR;HNRNPA3;DHX9;FUS;PRPF40A;U2AF1;U2SURP;SRRM1;PNN;SYNCRIP;NUDT21;HNRNPA2B1;RBM41;SNRNP35;HNRNPA1;SF3B1;SMNDC1;SRSF9;HNRNPA0
GO_Biological_Process_2021	negative regulation of nucleic acid-templated transcription (GO:1903507)	32/464	1.7360653010755864e-05	0.0052559376990063	0	0	2.4252542698138555	26.583949895297597	KHDRBS1;SET;EHMT1;ARID4A;RSF1;HDAC9;NIPBL;BCLAF1;ATXN1;RPS6KA5;BCL7A;CCDC85B;DPF1;ZBTB7A;MTA3;ATF7IP;SPEN;KDM4A;SFMBT1;ZBTB38;ARID5B;PHC3;POU3F3;EID1;REST;NCOR1;ZEB1;KAT6A;PLCB1;RCOR1;VGLL4;LIMS1
GO_Biological_Process_2021	positive regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060213)	5/13	2.7482004134341356e-05	0.0073957126681527	0	0	19.988655115511552	209.92043951183095	AGO2;CPEB3;TOB1;TNRC6A;TNRC6B
GO_Biological_Process_2021	regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060211)	5/15	6.094605936354841e-05	0.0147611355778514	0	0	15.98927392739274	155.18423959673686	AGO2;CPEB3;TOB1;TNRC6A;TNRC6B
GO_Biological_Process_2021	regulation of mRNA splicing, via spliceosome (GO:0048024)	11/90	9.234933134018364e-05	0.0203336436823568	0	0	4.481223628691983	41.63026319890341	FXR1;SRPK2;KHDRBS1;RBM25;REST;CELF2;NSRP1;HNRNPA1;ZBTB7A;SRSF9;SRPK1
GO_Biological_Process_2021	regulation of alternative mRNA splicing, via spliceosome (GO:0000381)	8/54	0.0002182797896096912	0.0440561375362226	0	0	5.5787728026534	47.02756452179826	FXR1;KHDRBS1;RBM25;REST;CELF2;NSRP1;HNRNPA1;ZBTB7A
