Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Mouse	Epstein-Barr virus infection	63/229	6.369048e-23	1.757857e-20	0	0	5.552064e+00	2.837549e+02	H2-T23;H2-T22;H2-K1;CD3G;CD3E;ITGAL;CD3D;ICAM1;CCND3;CASP8;MYC;BLNK;H2-OB;H2-OA;B2M;JAK3;IKBKE;IFNAR2;ENTPD1;H2-T10;SYK;TAP2;TAP1;IRAK4;TAPBP;OAS2;OAS3;BTK;IRF7;H2-D1;CD44;IRF9;TLR2;H2-DMA;H2-Q6;H2-M3;H2-Q7;H2-Q4;OAS1A;OAS1B;OAS1G;H2-DMB2;H2-DMB1;PLCG2;FADD;LYN;H2-EB1;STAT1;STAT2;STAT3;EIF2AK2;ISG15;H2-AA;NFKB1;NFKB2;CXCL10;CDK6;CDK2;FAS;VIM;NFKBIE;MYD88;H2-AB1
KEGG_2019_Mouse	Phagosome	53/180	5.778223e-21	7.973948e-19	0	0	6.070002e+00	2.828632e+02	H2-T23;H2-T22;ITGAM;NCF1;ITGB5;NCF2;ITGB3;H2-K1;NCF4;ITGB2;TCIRG1;CTSS;MRC2;TUBB6;CTSL;LAMP2;H2-OB;H2-OA;H2-T10;TAP2;TAP1;CYBB;CYBA;FCGR1;FCGR3;FCGR4;TLR6;RAB7B;ATP6V0D2;TLR4;H2-D1;ATP6V0E;VAMP3;TLR2;COLEC12;H2-DMA;H2-Q6;H2-M3;H2-Q7;H2-Q4;THBS2;THBS3;C3;H2-DMB2;CLEC7A;H2-DMB1;CD14;MSR1;H2-EB1;C1RA;H2-AA;FCGR2B;H2-AB1
KEGG_2019_Mouse	Hematopoietic cell lineage	35/94	6.401396e-18	5.889285e-16	0	0	8.539528e+00	3.380801e+02	CSF1R;CSF3R;ITGAM;CSF1;ITGB3;H2-DMA;IL4RA;CD3G;IL6RA;SIGLECH;CD3E;CD3D;CSF2RA;H2-DMB2;H2-DMB1;H2-OB;CD37;H2-OA;CD14;CD33;H2-EB1;CD8B1;H2-AA;FCGR1;CD2;IL1A;CD8A;CD5;IL1B;IL3RA;CD9;ITGA6;CD44;CD22;H2-AB1
KEGG_2019_Mouse	Antigen processing and presentation	34/90	1.120506e-17	7.731493e-16	0	0	8.734599e+00	3.409129e+02	H2-T23;H2-T22;H2-DMA;H2-Q6;H2-K1;H2-Q7;H2-M3;H2-Q4;IFI30;CTSS;H2-DMB2;PSME2B;CTSL;H2-DMB1;H2-OB;H2-OA;KLRC1;B2M;CTSB;CD74;H2-EB1;H2-T10;TAP2;TAP1;CD8B1;H2-AA;TAPBP;CD8A;PSME1;PSME2;KLRD1;H2-D1;LGMN;H2-AB1
KEGG_2019_Mouse	Leishmaniasis	29/67	3.495056e-17	1.929271e-15	0	0	1.094741e+01	4.148258e+02	ITGAM;NCF1;NCF2;H2-DMA;ITGB2;NCF4;C3;H2-DMB2;H2-DMB1;H2-OB;H2-OA;H2-EB1;IFNGR1;STAT1;CYBB;CYBA;IRAK4;H2-AA;NFKB1;FCGR1;IL1A;FCGR3;FCGR4;IL1B;PTPN6;TLR4;MYD88;TLR2;H2-AB1
KEGG_2019_Mouse	Rheumatoid arthritis	32/84	7.630932e-17	3.510229e-15	0	0	8.841406e+00	3.281199e+02	CD86;CCL12;CSF1;H2-DMA;ITGB2;TCIRG1;TNFRSF11A;ITGAL;CXCL5;TNFSF13B;ICAM1;H2-DMB2;CTSL;H2-DMB1;CCL5;H2-OB;CCL3;TNFSF11;CCL2;H2-OA;H2-EB1;ANGPT1;IL15;H2-AA;IL1A;IL1B;LTB;TLR4;ATP6V0D2;TLR2;ATP6V0E;H2-AB1
KEGG_2019_Mouse	Tuberculosis	47/178	1.158332e-16	4.567138e-15	0	0	5.192907e+00	1.905505e+02	ITGAM;H2-DMA;ITGB2;LSP1;TCIRG1;CTSS;C3;MRC2;H2-DMB2;CASP8;CLEC7A;H2-DMB1;LAMP2;H2-OB;ITGAX;CD14;FADD;LBP;H2-OA;CTSD;CD74;H2-EB1;FCER1G;SYK;RIPK2;IFNGR1;IL10RB;STAT1;IL10RA;IRAK4;H2-AA;NFKB1;TIRAP;TNFRSF1A;FCGR1;TLR1;IL1A;FCGR3;FCGR4;IL1B;TLR6;FCGR2B;ATP6V0D2;TLR4;MYD88;H2-AB1;TLR2
KEGG_2019_Mouse	Osteoclast differentiation	39/128	2.402732e-16	8.289426e-15	0	0	6.317387e+00	2.272033e+02	CSF1R;SPI1;NCF1;CSF1;NCF2;ITGB3;NCF4;TREM2;TNFRSF11A;PIRB;SOCS3;SOCS1;PLCG2;BLNK;TNFSF11;IFNAR2;SYK;IFNGR1;STAT1;STAT2;CYBA;NFATC1;LILRB4A;NFKB1;TGFBR1;NFKB2;TNFRSF1A;TGFBR2;FCGR1;IL1A;FCGR3;TYROBP;TEC;FCGR4;IL1B;BTK;LCP2;FCGR2B;IRF9
KEGG_2019_Mouse	Influenza A	45/168	2.874448e-16	8.814972e-15	0	0	5.289337e+00	1.892816e+02	CCL12;H2-DMA;OAS1A;OAS1B;ICAM1;OAS1G;PYCARD;IFIH1;SOCS3;H2-DMB2;H2-DMB1;CCL5;CASP1;H2-OB;TRIM25;CCL2;H2-OA;IKBKE;IFNAR2;FDPS;IL33;H2-EB1;RSAD2;IFNGR1;STAT1;MX2;STAT2;EIF2AK2;IRAK4;H2-AA;NFKB1;TNFRSF1A;CXCL10;IL1A;OAS2;IL1B;OAS3;IRF7;FAS;TLR7;TLR4;MYD88;IRF9;TLR3;H2-AB1
KEGG_2019_Mouse	Lysosome	38/124	4.691618e-16	1.294887e-14	0	0	6.366216e+00	2.246993e+02	SCARB2;CD63;ASAH1;HEXB;CTSZ;HEXA;CTSW;TCIRG1;LIPA;GNS;LITAF;CTSS;CLN5;CLN3;LAPTM4A;NAGLU;GM2A;CTSL;LAMP2;CTSH;AGA;CTSE;GUSB;CTSD;CTSC;CTSB;CTSA;DNASE2A;SLC11A1;LAPTM5;NAGA;PLA2G15;NPC2;TPP1;MAN2B1;CD68;ATP6V0D2;LGMN
