Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2016	Lysosome Homo sapiens hsa04142	37/123	3.506897384102211e-16	9.117933198665749e-14	0	0	6.602442242962057	234.9586677274993	SCARB2;CD63;ASAH1;HEXB;CTSZ;HEXA;CTSW;TCIRG1;LIPA;GNS;LITAF;CTSS;CLN5;CLN3;LAPTM4A;CTSO;NAGLU;GM2A;CTSL;LAMP2;CTSH;AGA;CTSE;GUSB;CTSD;CTSC;CTSB;CTSA;SLC11A1;LAPTM5;NAGA;PLA2G15;NPC2;MAN2B1;CD68;ATP6V0D2;LGMN
KEGG_2016	Osteoclast differentiation Homo sapiens hsa04380	36/132	2.599792814981028e-14	3.3797306594753367e-12	0	0	5.747021364009861	179.77119339682366	CSF1R;SPI1;NCF1;CSF1;NCF2;ITGB3;NCF4;TREM2;TNFRSF11A;PIK3CG;PIK3R5;SOCS3;SOCS1;PLCG2;BLNK;IFNAR2;SYK;IFNGR1;STAT1;CYBB;CYBA;NFATC1;NFKB1;TGFBR1;NFKB2;TNFRSF1A;TGFBR2;IL1A;TYROBP;TEC;LCK;IL1B;BTK;LCP2;FCGR2B;IRF9
KEGG_2016	NF-kappa B signaling pathway Homo sapiens hsa04064	28/93	1.3528629635811445e-12	1.1724812351036583e-10	0	0	6.5694945054945055	179.53638866575764	LY96;TNFRSF11A;TNFSF13B;ICAM1;PLAU;CCL4;BLNK;PLCG2;TRIM25;CD14;LYN;TICAM2;SYK;DDX58;IRAK4;TRAF1;NFKB1;TNFRSF1A;NFKB2;LCK;IL1B;BTK;LTB;LTBR;TLR4;LAT;MYD88;BIRC3
KEGG_2016	Measles Homo sapiens hsa05162	33/136	1.0502233012610998e-11	6.826451458197148e-10	0	0	4.896164252745503	123.77225722964506	CD3G;IL2RG;CD3D;PIK3CG;PIK3R5;IFIH1;JAK3;IKBKE;IFNAR2;DDX58;IFNGR1;STAT1;MX1;STAT3;MSN;EIF2AK2;IRAK4;NFKB1;DOK1;IL1A;CDK6;OAS2;IL1B;OAS3;CDK2;IRF7;FAS;TLR7;FCGR2B;TLR4;MYD88;IRF9;TLR2
KEGG_2016	Cytokine-cytokine receptor interaction Homo sapiens hsa04060	48/265	2.3669097395321508e-11	1.2307930645567184e-09	0	0	3.4014953056580683	83.22387822882338	CX3CR1;CSF1R;CNTF;CXCL9;CSF3R;TNFRSF13B;CSF1;CSF2RB;CXCR6;TNFRSF11A;IL2RG;EDA2R;CXCL5;CXCL16;TNFSF13B;CCL7;CXCR3;CCL4;IL21R;CCL3;TNFRSF17;CCL2;TNFRSF14;CCR5;IL13RA1;IFNAR2;IL15;IFNGR1;IL10RB;IL10RA;OSM;OSMR;TNFRSF1B;TGFBR1;TNFRSF1A;TGFBR2;IL1A;CXCL10;IL1B;CLCF1;IL3RA;TNFSF9;FAS;XCL1;TNFSF8;LTB;LTBR;CRLF2
KEGG_2016	Toll-like receptor signaling pathway Homo sapiens hsa04620	28/106	4.4256894928374135e-11	1.9177987802295464e-09	0	0	5.470769230769231	130.4286636048679	CD86;CXCL9;LY96;PIK3CG;PIK3R5;CASP8;CCL4;SPP1;CCL3;MAP3K8;CD14;FADD;IKBKE;IFNAR2;TICAM2;STAT1;IRAK4;NFKB1;TLR1;CXCL10;IL1B;IRF7;IRF5;TLR7;TLR6;TLR4;MYD88;TLR2
KEGG_2016	Pertussis Homo sapiens hsa05133	23/75	8.930957378114711e-11	3.3172127404426076e-09	0	0	6.722717323327079	155.55636739978786	C1QB;C1QA;ITGAM;TICAM2;ITGB2;LY96;IRAK4;CXCL5;NFKB1;PYCARD;C4B;C3;IL1A;CASP7;IL1B;IRF1;CASP1;IRF8;SERPING1;CD14;TLR4;MYD88;C1QC
KEGG_2016	Chagas disease (American trypanosomiasis) Homo sapiens hsa05142	26/104	8.037145747319783e-10	2.6120723678789295e-08	0	0	5.071719641401793	106.2108213124136	C1QB;C1QA;CD3G;CD3D;PIK3CG;PIK3R5;C3;GNA15;CASP8;CCL3;CCL2;FADD;IFNGR1;IRAK4;NFKB1;TGFBR1;TNFRSF1A;TGFBR2;IL1B;FAS;TLR6;CD247;TLR4;MYD88;TLR2;C1QC
KEGG_2016	Tuberculosis Homo sapiens hsa05152	35/178	1.250032221536668e-09	3.6112041955503744e-08	0	0	3.738445462583394	76.63849277560239	ITGAM;ITGB2;LSP1;TCIRG1;CTSS;C3;MRC2;CASP8;CLEC7A;LAMP2;ITGAX;CD14;FADD;CTSD;CD74;FCER1G;SYK;RIPK2;IFNGR1;IL10RB;STAT1;IL10RA;CARD9;IRAK4;NFKB1;TNFRSF1A;TLR1;IL1A;IL1B;TLR6;FCGR2B;ATP6V0D2;TLR4;MYD88;TLR2
KEGG_2016	Complement and coagulation cascades Homo sapiens hsa04610	22/79	1.7766659799633082e-09	4.619331547904602e-08	0	0	5.860019667365001	118.07076609378156	C1QB;C1QA;ITGAM;CFH;SERPIND1;PROS1;ITGB2;SERPINF2;C5AR1;PLAUR;TFPI;CLU;F3;C4B;C3;PROCR;PLAU;C3AR1;ITGAX;SERPING1;A2M;C1QC
