Gene stable ID	Gene name	GO term accession
ENSMUSG00000063281	Zfp35	GO:0001228
ENSMUSG00000051469	Zfp24	GO:0001228
ENSMUSG00000051469	Zfp24	GO:0001228
ENSMUSG00000051469	Zfp24	GO:0001228
ENSMUSG00000022809	Nr1i2	GO:0001228
ENSMUSG00000022809	Nr1i2	GO:0001228
ENSMUSG00000024619	Cdx1	GO:0001228
ENSMUSG00000024619	Cdx1	GO:0001228
ENSMUSG00000044149	Nkrf	GO:0001228
ENSMUSG00000044149	Nkrf	GO:0001228
ENSMUSG00000021250	Fos	GO:0001228
ENSMUSG00000021250	Fos	GO:0001228
ENSMUSG00000034266	Batf	GO:0001228
ENSMUSG00000034266	Batf	GO:0001228
ENSMUSG00000005148	Klf5	GO:0001228
ENSMUSG00000005148	Klf5	GO:0001228
ENSMUSG00000045903	Npas4	GO:0001228
ENSMUSG00000045903	Npas4	GO:0001228
ENSMUSG00000071637	Cebpd	GO:0001228
ENSMUSG00000071637	Cebpd	GO:0001228
ENSMUSG00000071637	Cebpd	GO:0001228
ENSMUSG00000022346	Myc	GO:0001228
ENSMUSG00000022346	Myc	GO:0001228
ENSMUSG00000022346	Myc	GO:0001228
ENSMUSG00000022346	Myc	GO:0001228
ENSMUSG00000024837	Dmrt1	GO:0001228
ENSMUSG00000024837	Dmrt1	GO:0001228
ENSMUSG00000048138	Dmrt2	GO:0001228
ENSMUSG00000048138	Dmrt2	GO:0001228
ENSMUSG00000001496	Nkx2-1	GO:0001228
ENSMUSG00000001496	Nkx2-1	GO:0001228
ENSMUSG00000058669	Nkx2-9	GO:0001228
ENSMUSG00000058669	Nkx2-9	GO:0001228
ENSMUSG00000001497	Pax9	GO:0001228
ENSMUSG00000001497	Pax9	GO:0001228
ENSMUSG00000021362	Gcm2	GO:0001228
ENSMUSG00000021362	Gcm2	GO:0001228
ENSMUSG00000024912	Fosl1	GO:0001228
ENSMUSG00000024912	Fosl1	GO:0001228
