Gene stable ID	Gene name	GO term accession
ENSMUSG00000053211	Zfy1	GO:0000981
ENSMUSG00000053211	Zfy1	GO:0000981
ENSMUSG00000000103	Zfy2	GO:0000981
ENSMUSG00000000103	Zfy2	GO:0000981
ENSMUSG00000069036	Sry	GO:0003700
ENSMUSG00000069036	Sry	GO:0000981
ENSMUSG00000069036	Sry	GO:0000981
ENSMUSG00000069036	Sry	GO:0000981
ENSMUSG00000022463	Srebf2	GO:0000981
ENSMUSG00000022463	Srebf2	GO:0003700
ENSMUSG00000022463	Srebf2	GO:0001227
ENSMUSG00000022463	Srebf2	GO:0000981
ENSMUSG00000022463	Srebf2	GO:0001227
ENSMUSG00000022463	Srebf2	GO:0000981
ENSMUSG00000022463	Srebf2	GO:0003700
ENSMUSG00000022463	Srebf2	GO:0001227
ENSMUSG00000022463	Srebf2	GO:0000981
ENSMUSG00000024276	Zfp397	GO:0000981
ENSMUSG00000024276	Zfp397	GO:0000981
ENSMUSG00000021244	Ylpm1	GO:0001227
ENSMUSG00000063281	Zfp35	GO:0001228
ENSMUSG00000051469	Zfp24	GO:0000981
ENSMUSG00000051469	Zfp24	GO:0001228
ENSMUSG00000051469	Zfp24	GO:0003700
ENSMUSG00000051469	Zfp24	GO:0001228
ENSMUSG00000051469	Zfp24	GO:0000981
ENSMUSG00000051469	Zfp24	GO:0001228
ENSMUSG00000051469	Zfp24	GO:0003700
ENSMUSG00000042320	Prox2	GO:0000981
ENSMUSG00000042320	Prox2	GO:0000981
ENSMUSG00000058794	Nfe2	GO:0003700
ENSMUSG00000058794	Nfe2	GO:0003700
ENSMUSG00000058794	Nfe2	GO:0003700
ENSMUSG00000058794	Nfe2	GO:0003700
ENSMUSG00000058794	Nfe2	GO:0003700
ENSMUSG00000058794	Nfe2	GO:0003700
ENSMUSG00000058794	Nfe2	GO:0003700
ENSMUSG00000058794	Nfe2	GO:0003700
ENSMUSG00000058794	Nfe2	GO:0003700
ENSMUSG00000058794	Nfe2	GO:0003700
ENSMUSG00000071757	Zhx2	GO:0000981
ENSMUSG00000022809	Nr1i2	GO:0003700
ENSMUSG00000022809	Nr1i2	GO:0001228
ENSMUSG00000022809	Nr1i2	GO:0004879
ENSMUSG00000022809	Nr1i2	GO:0004879
ENSMUSG00000022809	Nr1i2	GO:0001228
ENSMUSG00000022809	Nr1i2	GO:0004879
ENSMUSG00000022809	Nr1i2	GO:0004879
ENSMUSG00000024619	Cdx1	GO:0000981
ENSMUSG00000024619	Cdx1	GO:0001228
ENSMUSG00000024619	Cdx1	GO:0003700
ENSMUSG00000024619	Cdx1	GO:0003700
ENSMUSG00000024619	Cdx1	GO:0001228
ENSMUSG00000057469	E2f6	GO:0000981
ENSMUSG00000057469	E2f6	GO:0003700
ENSMUSG00000057469	E2f6	GO:0001227
ENSMUSG00000057469	E2f6	GO:0001227
ENSMUSG00000057469	E2f6	GO:0001227
ENSMUSG00000055639	Dach1	GO:0000981
ENSMUSG00000055639	Dach1	GO:0003700
ENSMUSG00000055639	Dach1	GO:0001227
ENSMUSG00000055639	Dach1	GO:0000981
ENSMUSG00000055639	Dach1	GO:0001227
ENSMUSG00000055639	Dach1	GO:0000981
ENSMUSG00000055639	Dach1	GO:0003700
ENSMUSG00000055639	Dach1	GO:0001227
ENSMUSG00000055639	Dach1	GO:0000981
ENSMUSG00000044149	Nkrf	GO:0001228
ENSMUSG00000044149	Nkrf	GO:0001228
ENSMUSG00000045440	Insm2	GO:0003700
ENSMUSG00000045440	Insm2	GO:0001227
ENSMUSG00000031365	Zfp275	GO:0000981
ENSMUSG00000031365	Zfp275	GO:0000981
ENSMUSG00000031374	Zfp92	GO:0000981
ENSMUSG00000021250	Fos	GO:0003700
ENSMUSG00000021250	Fos	GO:0000981
ENSMUSG00000021250	Fos	GO:0003700
ENSMUSG00000021250	Fos	GO:0003700
ENSMUSG00000021250	Fos	GO:0003700
ENSMUSG00000021250	Fos	GO:0001228
ENSMUSG00000021250	Fos	GO:0001228
ENSMUSG00000034271	Jdp2	GO:0003700
ENSMUSG00000034271	Jdp2	GO:0000981
ENSMUSG00000034271	Jdp2	GO:0003700
ENSMUSG00000034271	Jdp2	GO:0001227
ENSMUSG00000034271	Jdp2	GO:0001227
ENSMUSG00000034271	Jdp2	GO:0001227
ENSMUSG00000034271	Jdp2	GO:0003700
ENSMUSG00000034271	Jdp2	GO:0000981
ENSMUSG00000034271	Jdp2	GO:0003700
ENSMUSG00000034271	Jdp2	GO:0001227
ENSMUSG00000034271	Jdp2	GO:0001227
ENSMUSG00000034271	Jdp2	GO:0003700
ENSMUSG00000034271	Jdp2	GO:0000981
ENSMUSG00000034271	Jdp2	GO:0003700
ENSMUSG00000034271	Jdp2	GO:0001227
ENSMUSG00000034271	Jdp2	GO:0001227
ENSMUSG00000034271	Jdp2	GO:0003700
ENSMUSG00000034266	Batf	GO:0003700
ENSMUSG00000034266	Batf	GO:0000981
ENSMUSG00000034266	Batf	GO:0003700
ENSMUSG00000034266	Batf	GO:0001228
ENSMUSG00000034266	Batf	GO:0001228
ENSMUSG00000005148	Klf5	GO:0003700
ENSMUSG00000005148	Klf5	GO:0000981
ENSMUSG00000005148	Klf5	GO:0001228
ENSMUSG00000005148	Klf5	GO:0003700
ENSMUSG00000005148	Klf5	GO:0000981
ENSMUSG00000005148	Klf5	GO:0000981
ENSMUSG00000005148	Klf5	GO:0001228
ENSMUSG00000005148	Klf5	GO:0003700
ENSMUSG00000072294	Klf12	GO:0000981
ENSMUSG00000072294	Klf12	GO:0003700
ENSMUSG00000072294	Klf12	GO:0003700
ENSMUSG00000072294	Klf12	GO:0001227
ENSMUSG00000072294	Klf12	GO:0001227
ENSMUSG00000072294	Klf12	GO:0001227
ENSMUSG00000072294	Klf12	GO:0003700
ENSMUSG00000072294	Klf12	GO:0000981
ENSMUSG00000072294	Klf12	GO:0003700
ENSMUSG00000072294	Klf12	GO:0003700
ENSMUSG00000072294	Klf12	GO:0001227
ENSMUSG00000072294	Klf12	GO:0001227
ENSMUSG00000022676	Snai2	GO:0000981
ENSMUSG00000022676	Snai2	GO:0001227
ENSMUSG00000022676	Snai2	GO:0001227
ENSMUSG00000022676	Snai2	GO:0001227
ENSMUSG00000022676	Snai2	GO:0000981
ENSMUSG00000022676	Snai2	GO:0001227
ENSMUSG00000071772	Rhox3a	GO:0000981
ENSMUSG00000071772	Rhox3a	GO:0000981
ENSMUSG00000071772	Rhox3a	GO:0000981
ENSMUSG00000095601	Rhox3a2	GO:0000981
ENSMUSG00000095601	Rhox3a2	GO:0000981
ENSMUSG00000095601	Rhox3a2	GO:0000981
ENSMUSG00000095601	Rhox3a2	GO:0000981
ENSMUSG00000045903	Npas4	GO:0000981
ENSMUSG00000045903	Npas4	GO:0001228
ENSMUSG00000045903	Npas4	GO:0000981
ENSMUSG00000045903	Npas4	GO:0000981
ENSMUSG00000045903	Npas4	GO:0000981
ENSMUSG00000045903	Npas4	GO:0001228
ENSMUSG00000079636	Rhox3c	GO:0000981
ENSMUSG00000079636	Rhox3c	GO:0000981
ENSMUSG00000079636	Rhox3c	GO:0000981
ENSMUSG00000079636	Rhox3c	GO:0000981
ENSMUSG00000041852	Tcf20	GO:0003700
ENSMUSG00000041852	Tcf20	GO:0003700
ENSMUSG00000073197	5730507C01Rik	GO:0001227
ENSMUSG00000073197	5730507C01Rik	GO:0001227
ENSMUSG00000051490	Foxd4	GO:0003700
ENSMUSG00000051490	Foxd4	GO:0000981
ENSMUSG00000039830	Olig2	GO:0003700
ENSMUSG00000039830	Olig2	GO:0000981
ENSMUSG00000039830	Olig2	GO:0003700
ENSMUSG00000039830	Olig2	GO:0003700
ENSMUSG00000039830	Olig2	GO:0000981
ENSMUSG00000046160	Olig1	GO:0000981
ENSMUSG00000046160	Olig1	GO:0003700
ENSMUSG00000022708	Zbtb20	GO:0001227
ENSMUSG00000022708	Zbtb20	GO:0001227
ENSMUSG00000022708	Zbtb20	GO:0001227
ENSMUSG00000022708	Zbtb20	GO:0001227
ENSMUSG00000022708	Zbtb20	GO:0001227
ENSMUSG00000022708	Zbtb20	GO:0001227
ENSMUSG00000022708	Zbtb20	GO:0001227
ENSMUSG00000022708	Zbtb20	GO:0001227
ENSMUSG00000022708	Zbtb20	GO:0001227
ENSMUSG00000022708	Zbtb20	GO:0001227
ENSMUSG00000059626	Rhox3e	GO:0000981
ENSMUSG00000059626	Rhox3e	GO:0000981
ENSMUSG00000059626	Rhox3e	GO:0000981
ENSMUSG00000059626	Rhox3e	GO:0000981
ENSMUSG00000095510	Rhox3f	GO:0000981
ENSMUSG00000095510	Rhox3f	GO:0000981
ENSMUSG00000095510	Rhox3f	GO:0000981
ENSMUSG00000095510	Rhox3f	GO:0000981
ENSMUSG00000080933	Rhox3g	GO:0000981
ENSMUSG00000031241	Tbx22	GO:0003700
ENSMUSG00000031241	Tbx22	GO:0003700
